source_language,target_language,source_text,target_text,table_name,source_comment,weight
ru,en,лакосамид,lacosamidum,compendium.com.ua,https://compendium.com.ua/akt/76/132150/lacosamidum/,2
ru,en,лактулоза,lactulosum,compendium.com.ua,https://compendium.com.ua/akt/76/1518/lactulosum/,2
ru,en,ламивудин,lamivudinum,compendium.com.ua,https://compendium.com.ua/akt/76/202/lamivudinum/,2
ru,en,ламинария,laminaria,compendium.com.ua,https://compendium.com.ua/akt/76/857363/laminaria/,2
ru,en,ламотриджин,lamotriginum,compendium.com.ua,https://compendium.com.ua/akt/76/3056/lamotriginum/,2
ru,en,ланатозид с,lanatosidum c,compendium.com.ua,https://compendium.com.ua/akt/76/1419/lanatosidum-c/,2
ru,en,ландыш майский/закавказский/кейске,convallaria majalis/transcaucasica utkin ex grossh./keiskei mig.,compendium.com.ua,https://compendium.com.ua/akt/67/189/convallaria-majalistranscaucasica-utkin-ex-grossh-keiskei-mig/,2
ru,en,ланреотид,lanreotidum,compendium.com.ua,https://compendium.com.ua/akt/76/54848/lanreotidum/,2
ru,en,лансопразол,lansoprazolum,compendium.com.ua,https://compendium.com.ua/akt/76/315/lansoprazolum/,2
ru,en,лапатиниб,lapatinib,compendium.com.ua,https://compendium.com.ua/akt/76/113189/lapatinib/,2
ru,en,лапчатка белая/прямостоячая,potentilla alba/erecta,compendium.com.ua,https://compendium.com.ua/akt/80/857367/potentilla-albaerecta/,2
ru,en,латанопрост,latanoprostum,compendium.com.ua,https://compendium.com.ua/akt/76/136/latanoprostum/,2
ru,en,лацидипин,lacidipinum,compendium.com.ua,https://compendium.com.ua/akt/76/1470/lacidipinum/,2
ru,en,левамизол,levamisolum,compendium.com.ua,https://compendium.com.ua/akt/76/3054/levamisolum/,2
ru,en,левамлодипин,levamlodipinum,compendium.com.ua,https://compendium.com.ua/akt/76/556774/levamlodipinum/,2
ru,en,левана,levana,compendium.com.ua,https://compendium.com.ua/akt/76/858054/levana/,2
ru,en,леветирацетам,levetiracetamum,compendium.com.ua,https://compendium.com.ua/akt/76/94055/levetiracetamum/,2
ru,en,левилимаб,levilimabum,compendium.com.ua,https://compendium.com.ua/akt/76/923271/levilimabum/,2
ru,en,леводропропизин,levodropropizinum,compendium.com.ua,https://compendium.com.ua/akt/76/68/levodropropizinum/,2
ru,en,левомепромазин,levomepromazinum,compendium.com.ua,https://compendium.com.ua/akt/76/3050/levomepromazinum/,2
ru,en,кабазитаксел,cabazitaxel,compendium.com.ua,https://compendium.com.ua/akt/67/150908/cabazitaxel/,2
ru,en,каберголин,cabergolinum,compendium.com.ua,https://compendium.com.ua/akt/67/324/cabergolinum/,2
ru,en,кабозантиниб,cabozantinibum,compendium.com.ua,https://compendium.com.ua/akt/67/485776/cabozantinibum/,2
ru,en,калия йодид,kalii iodidum,compendium.com.ua,https://compendium.com.ua/akt/75/3108/kalii-iodidum/,2
ru,en,калия перманганат,kalii permanganas,compendium.com.ua,https://compendium.com.ua/akt/75/262/kalii-permanganas/,2
ru,en,калия хлорид ,kalii chloridum,compendium.com.ua,https://compendium.com.ua/akt/75/1488/kalii-chloridum/,2
ru,en,кальцитонин,calcitoninum,compendium.com.ua,https://compendium.com.ua/akt/67/3105/calcitoninum/,2
ru,en,кальция глюконат,calcii gluconas,compendium.com.ua,https://compendium.com.ua/akt/67/3103/calcii-gluconas/,2
ru,en,кальция фолинат,calcii folinas,compendium.com.ua,https://compendium.com.ua/akt/67/3106/calcii-folinas/,2
ru,en,кальция хлорид,calcii chloridum,compendium.com.ua,https://compendium.com.ua/akt/67/347/calcii-chloridum/,2
ru,en,камфора,camphora,compendium.com.ua,https://compendium.com.ua/akt/67/270/camphora/,2
ru,en,кангрелор,cangrelorum,compendium.com.ua,https://compendium.com.ua/akt/67/568356/cangrelorum/,2
ru,en,кандесартан,candesartanum,compendium.com.ua,https://compendium.com.ua/akt/67/32844/candesartanum/,2
ru,en,капецитабин,capecitabinum,compendium.com.ua,https://compendium.com.ua/akt/67/37452/capecitabinum/,2
ru,en,капреомицин,capreomycinum,compendium.com.ua,https://compendium.com.ua/akt/67/714/capreomycinum/,2
ru,en,каптоприл,captoprilum,compendium.com.ua,https://compendium.com.ua/akt/67/3102/captoprilum/,2
ru,en,карбамазепин,carbamazepinum,compendium.com.ua,https://compendium.com.ua/akt/67/3101/carbamazepinum/,2
ru,en,карбимазол,carbimazole,compendium.com.ua,https://compendium.com.ua/akt/67/184017/carbimazole/,2
ru,en,карбомер,carbomerum,compendium.com.ua,https://compendium.com.ua/akt/67/43705/carbomerum/,2
ru,en,карбоплатин,carboplatinum,compendium.com.ua,https://compendium.com.ua/akt/67/3097/carboplatinum/,2
ru,en,дабигатран этексилат,dabigatranum etexilatum,compendium.com.ua,https://compendium.com.ua/akt/68/121224/dabigatranum-etexilatum/,2
ru,en,дазатиниб,dasatinibum,compendium.com.ua,https://compendium.com.ua/akt/68/119303/dasatinibum/,2
ru,en,дакарбазин,dacarbazinum,compendium.com.ua,https://compendium.com.ua/akt/68/3202/dacarbazinum/,2
ru,en,даклатасвир,daclatasvirum,compendium.com.ua,https://compendium.com.ua/akt/68/378666/daclatasvirum/,2
ru,en,дактиномицин,dactinomycinum,compendium.com.ua,https://compendium.com.ua/akt/68/3201/dactinomycinum/,2
ru,en,даларгин,dalarginum,compendium.com.ua,https://compendium.com.ua/akt/68/200/dalarginum/,2
ru,en,далтепарин натрий,dalteparinum natricum,compendium.com.ua,https://compendium.com.ua/akt/68/3200/dalteparinum-natricum/,2
ru,en,дапаглифлозин,dapagliflozinum,compendium.com.ua,https://compendium.com.ua/akt/68/251093/dapagliflozinum/,2
ru,en,дапоксетин,dapoxetine,compendium.com.ua,https://compendium.com.ua/akt/68/139091/dapoxetine/,2
ru,en,даптомицин,daptomycinum,compendium.com.ua,https://compendium.com.ua/akt/68/130282/daptomycinum/,2
ru,en,даратумумаб,daratumumabum,compendium.com.ua,https://compendium.com.ua/akt/68/485556/daratumumabum/,2
ru,en,дарбепоэтин альфа,darbepoetin alfa,compendium.com.ua,https://compendium.com.ua/akt/68/128033/darbepoetin-alfa/,2
ru,en,дарунавир,darunavirum,compendium.com.ua,https://compendium.com.ua/akt/68/100180/darunavirum/,2
ru,en,дасабувир,dasabuvirum,compendium.com.ua,https://compendium.com.ua/akt/68/348900/dasabuvirum/,2
ru,en,даунорубицин,daunorubicinum,compendium.com.ua,https://compendium.com.ua/akt/68/3198/daunorubicinum/,2
ru,en,девясил высокий,inula helenium,compendium.com.ua,https://compendium.com.ua/akt/73/182/inula-helenium/,2
ru,en,дегареликс,degarelix,compendium.com.ua,https://compendium.com.ua/akt/68/139789/degarelix/,2
ru,en,дезлоратадин,desloratadinum,compendium.com.ua,https://compendium.com.ua/akt/68/40218/desloratadinum/,2
ru,en,дезогестрел,desogestrelum,compendium.com.ua,https://compendium.com.ua/akt/68/321/desogestrelum/,2
ru,en,декаметоксин,decametoxinum,compendium.com.ua,https://compendium.com.ua/akt/68/610/decametoxinum/,2
ru,en,залеплон,zaleplonum,compendium.com.ua,https://compendium.com.ua/akt/90/72477/zaleplonum/,2
ru,en,зверобой продырявленный,hypericum perforatum,compendium.com.ua,https://compendium.com.ua/akt/72/124/hypericum-perforatum/,2
ru,en,зидовудин,zidovudinum,compendium.com.ua,https://compendium.com.ua/akt/90/3142/zidovudinum/,2
ru,en,зипразидон,ziprasidonum,compendium.com.ua,https://compendium.com.ua/akt/90/72478/ziprasidonum/,2
ru,en,золедроновая кислота,acidum zoledronicum,compendium.com.ua,https://compendium.com.ua/akt/65/35835/acidum-zoledronicum/,2
ru,en,золмитриптан,zolmitriptanum,compendium.com.ua,https://compendium.com.ua/akt/90/51/zolmitriptanum/,2
ru,en,золотарник обыкновенный&amp;,solidago virgaurea&amp;,compendium.com.ua,https://compendium.com.ua/akt/83/856100/solidago-virgaurea/,2
ru,en,золототысячник обыкновенный/красивый,swartz,compendium.com.ua,https://compendium.com.ua/akt/67/272/centaurium-vulgare-raf-pulchellum-swartz-druce/,2
ru,en,зопиклон,zopiclonum,compendium.com.ua,https://compendium.com.ua/akt/90/3139/zopiclonum/,2
ru,en,зуклопентиксол,zuclopenthixol,compendium.com.ua,https://compendium.com.ua/akt/90/44/zuclopenthixol/,2
