"rxcui","ingredient","ing_rxcui"
"1000000","hydrochlorothiazide","5487"
"1000000","amlodipine","17767"
"1000000","olmesartan","321064"
"1000001","hydrochlorothiazide","5487"
"1000001","amlodipine","17767"
"1000001","olmesartan","321064"
"1000005","hydrochlorothiazide","5487"
"1000005","amlodipine","17767"
"1000005","olmesartan","321064"
"1000009","miconazole","6932"
"1000009","zinc oxide","11423"
"1000009","dimethicone","324072"
"1000048","doxepin","3638"
"1000054","doxepin","3638"
"1000058","doxepin","3638"
"1000064","doxepin","3638"
"1000070","doxepin","3638"
"1000076","doxepin","3638"
"1000085","alcaftadine","1000082"
"1000089","alcaftadine","1000082"
"1000091","doxepin","3638"
"1000093","doxepin","3638"
"1000095","doxepin","3638"
"1000097","doxepin","3638"
"1000107","botulinum toxin type A","1712"
"1000114","medroxyprogesterone","6691"
"1000124","medroxyprogesterone","6691"
"1000126","medroxyprogesterone","6691"
"1000128","medroxyprogesterone","6691"
"1000131","medroxyprogesterone","6691"
"1000133","medroxyprogesterone","6691"
"1000135","medroxyprogesterone","6691"
"1000139","medroxyprogesterone","6691"
"1000141","medroxyprogesterone","6691"
"1000145","medroxyprogesterone","6691"
"1000153","medroxyprogesterone","6691"
"1000154","medroxyprogesterone","6691"
"1000156","medroxyprogesterone","6691"
"1000158","medroxyprogesterone","6691"
"1000351","estrogens, conjugated (USP)","4099"
"1000351","medroxyprogesterone","6691"
"1000352","estrogens, conjugated (USP)","4099"
"1000352","medroxyprogesterone","6691"
"1000355","estrogens, conjugated (USP)","4099"
"1000355","medroxyprogesterone","6691"
"1000356","estrogens, conjugated (USP)","4099"
"1000356","medroxyprogesterone","6691"
"1000395","estrogens, conjugated (USP)","4099"
"1000395","medroxyprogesterone","6691"
"1000398","estrogens, conjugated (USP)","4099"
"1000398","medroxyprogesterone","6691"
"1000405","norethindrone","7514"
"1000407","norethindrone","7514"
"1000479","bisacodyl","1596"
"1000479","potassium chloride","8591"
"1000479","sodium chloride","9863"
