"url","title","page_name_decoded"
"http://utis.in.ua/serotonin/","5-Гідрокситриптамін","serotonin"
"http://utis.in.ua/baclofen/","Габалон","baclofen"
"http://utis.in.ua/pregabalin/","Габана","pregabalin"
"http://utis.in.ua/gabapentin/","Габапентин","gabapentin"
"http://utis.in.ua/tiagabine/","Габітріл","tiagabine"
"http://utis.in.ua/gadobenate-dimeglumine/","Гадобенат димеглюбін","gadobenate-dimeglumine"
"http://utis.in.ua/gadolinium/","Гадобенова кислота","gadolinium"
"http://utis.in.ua/gadobutrol/","Гадобутрол","gadobutrol"
"http://utis.in.ua/gadoversetamid/","Гадоверсетамід","gadoversetamid"
"http://utis.in.ua/gadobutrol/","Гадовіст","gadobutrol"
"http://utis.in.ua/gadodiamide/","Гадодіамід","gadodiamide"
"http://utis.in.ua/gadolinium/","Гадоліній","gadolinium"
"http://utis.in.ua/gadolinium/","Гадолінію димеглюмін","gadolinium"
"http://utis.in.ua/gadopentetate-dimeglumine/","Гадопентетат димеглюмін","gadopentetate-dimeglumine"
"http://utis.in.ua/gadoteridol/","Гадотеридол","gadoteridol"
"http://utis.in.ua/gadofosveset/","Гадофосвесет","gadofosveset"
"http://utis.in.ua/gadolinium/","Гадофосвесет три натрію","gadolinium"
"http://utis.in.ua/carbonic-acid-gas/","Газ вуглекислий та вагітність","carbonic-acid-gas"
"http://utis.in.ua/%d1%81arbon-monoxide/","Газ чадний","sarbon-monoxide"
"http://utis.in.ua/gasoline/","Газолін","gasoline"
"http://utis.in.ua/%d0%ba%d0%b8%d1%81%d0%b5%d0%bd%d1%8c/","Газоподібний кисень медичний","kisen'"
"http://utis.in.ua/galantamine/","Галантамін","galantamine"
"http://utis.in.ua/cabergoline/","Галастоп","cabergoline"
"http://utis.in.ua/haloperidol/","Галдол","haloperidol"
"http://utis.in.ua/halobetasol/","Галобетазол","halobetasol"
"http://utis.in.ua/haloperidol/","Галоперидол","haloperidol"
"http://utis.in.ua/halothane/","Галотан","halothane"
"http://utis.in.ua/halofantrine/","Галофантрин","halofantrine"
"http://utis.in.ua/pipemidic-acid/","Галусан","pipemidic-acid"
"http://utis.in.ua/halofantrine/","Галфан","halofantrine"
"http://utis.in.ua/halcinonide/","Галцидерм","halcinonide"
"http://utis.in.ua/halcinonide/","Галцинонід","halcinonide"
"http://utis.in.ua/hexachlorocyclohexane/","Гама-гексахлор-циклогексан","hexachlorocyclohexane"
"http://utis.in.ua/gammaglobulins/","Гамаглобуліни","gammaglobulins"
"http://utis.in.ua/hexachlorocyclohexane/","Гама-ГХЦ","hexachlorocyclohexane"
"http://utis.in.ua/vigabatrin/","ГАМК (вініл-GABA)","vigabatrin"
"http://utis.in.ua/interferon-gamma-1b/","Гамма 1b інтерферон","interferon-gamma-1b"
"http://utis.in.ua/clofazimine/","Гансепран","clofazimine"
"http://utis.in.ua/sulfamethoxazole/","Гантанол","sulfamethoxazole"
"http://utis.in.ua/sulfisoxazole/","Гантрізін","sulfisoxazole"
"http://utis.in.ua/ganciclovir/","Ганцикловір","ganciclovir"
"http://utis.in.ua/gentamicin/","Гараміцин","gentamicin"
"http://utis.in.ua/papillomavirus-vaccine/","Гардасил","papillomavirus-vaccine"
"http://utis.in.ua/hyperthermia/","Гарячі ванни","hyperthermia"
"http://utis.in.ua/brucellosis-and-pregnancy/","Гарячка гібралтарська","brucellosis-and-pregnancy"
"http://utis.in.ua/zika-virus/","Гарячка Зіка та вагітність","zika-virus"
"http://utis.in.ua/brucellosis-and-pregnancy/","Гарячка мальтійська","brucellosis-and-pregnancy"
"http://utis.in.ua/brucellosis-and-pregnancy/","Гарячка середземноморська","brucellosis-and-pregnancy"
"http://utis.in.ua/brucellosis-and-pregnancy/","Гарячка ундулююча/хвилеподібна","brucellosis-and-pregnancy"
"http://utis.in.ua/brucellosis-and-pregnancy/","Гарячка хвилеподібна/ундулююча","brucellosis-and-pregnancy"
"http://utis.in.ua/antacids-and-pregnancy/","Гастал (алюміній, магній)","antacids-and-pregnancy"
"http://utis.in.ua/antacids-and-pregnancy/","Гастрогард (кальцій, магній)","antacids-and-pregnancy"
"http://utis.in.ua/diatrizoate/","Гастрографін","diatrizoate"
"http://utis.in.ua/gastroesophageal-reflux-disease-and-pregnancy/","Гастроезофагеальна рефлюксна хвороба та вагітність","gastroesophageal-reflux-disease-and-pregnancy"
"http://utis.in.ua/gatifloxacin/","Гатиспан","gatifloxacin"
"http://utis.in.ua/gatifloxacin/","Гатифлоксацин","gatifloxacin"
"http://utis.in.ua/gatifloxacin/","Гатицин","gatifloxacin"
"http://utis.in.ua/guaphenazine/","Гашиш","guaphenazine"
"http://utis.in.ua/guaphenazine/","Гвайфенезин","guaphenazine"
"http://utis.in.ua/eugenol/","Гвоздика","eugenol"
"http://utis.in.ua/eugenol/","Гвозика садова","eugenol"
"http://utis.in.ua/eugenol/","Гвоздики ефірна олія","eugenol"
"http://utis.in.ua/mentha-pulegium/","Гедеома пулегіоїдна","mentha-pulegium"
"http://utis.in.ua/quetiapine/","Гедонін","quetiapine"
"http://utis.in.ua/primidone/","Гексамідин","primidone"
"http://utis.in.ua/hexane/","Гексан","hexane"
"http://utis.in.ua/hexachlorobenzene/","Гексахлорбензен","hexachlorobenzene"
"http://utis.in.ua/hexachlorodibenzo-para-dioxin/","Гексахлор-дибензо-парадіоксин","hexachlorodibenzo-para-dioxin"
"http://utis.in.ua/hexachlorodibenzo-para-dioxin/","Гексахлор-дибензо-п-діоксин","hexachlorodibenzo-para-dioxin"
"http://utis.in.ua/hexachlorocyclohexane/","Гексахлор-циклогексан","hexachlorocyclohexane"
"http://utis.in.ua/hexachlorocyclohexane/","Гексахлор-циклогексан-альфа","hexachlorocyclohexane"
"http://utis.in.ua/hexachlorocyclohexane/","Гексахлор-циклогексан-бета","hexachlorocyclohexane"
"http://utis.in.ua/hexachlorocyclohexane/","Гексахлор-циклогексан-гама","hexachlorocyclohexane"
"http://utis.in.ua/hexachlorocyclopentadiene/","Гексахлор-циклопентадієн","hexachlorocyclopentadiene"
"http://utis.in.ua/hypericum/","Геларіум","hypericum"
"http://utis.in.ua/hypericum/","Геларіум гіперикум","hypericum"
"http://utis.in.ua/antacids-and-pregnancy/","Гелусил-лак (магній, алюміній)","antacids-and-pregnancy"
"http://utis.in.ua/%d0%bexybutynin/","Гельніка (для місцевого застосування)","oxybutynin"
"http://utis.in.ua/gemcitabine/","Гемзар","gemcitabine"
"http://utis.in.ua/testosterone/","Гемісукцинат тестостерону","testosterone"
"http://utis.in.ua/gemifloxacin/","Геміфлоксацин","gemifloxacin"
"http://utis.in.ua/bisoprolol/","Геміфумарат бісопролола","bisoprolol"
"http://utis.in.ua/maternal-hemoglobinopathies-and-pregnancy/","Гемоглобінопатії та вагітність","maternal-hemoglobinopathies-and-pregnancy"
"http://utis.in.ua/maternal-hemoglobinopathies-and-pregnancy/","Гемоглобінопатія","maternal-hemoglobinopathies-and-pregnancy"
"http://utis.in.ua/anticonvulsants/","Геморагічна хвороба новонароджених та протисудомні препарати при вагітності","anticonvulsants"
"http://utis.in.ua/vaccine-haemophilus-influenzae-type-b/","Гемофільна інфекція B – вакцина","vaccine-haemophilus-influenzae-type-b"
"http://utis.in.ua/gemfibrozil/","Гемфіброзил","gemfibrozil"
"http://utis.in.ua/gemcitabine/","Гемцитабін","gemcitabine"
"http://utis.in.ua/phytoestrogens/","Геністеїн","phytoestrogens"
"http://utis.in.ua/insulin/","Генсулін","insulin"
"http://utis.in.ua/gentamicin/","Гентаміцин","gentamicin"
"http://utis.in.ua/gentamicin/","Гентаміцину сульфат","gentamicin"
"http://utis.in.ua/octreotide/","Генфастат","octreotide"
"http://utis.in.ua/gentian-violet/","Генціанвіолет","gentian-violet"
"http://utis.in.ua/ziprasidone/","Геодон","ziprasidone"
"http://utis.in.ua/carbenicillin/","Геопен","carbenicillin"
"http://utis.in.ua/carbenicillin/","Геоцилін","carbenicillin"
"http://utis.in.ua/ademetionine/","Гепаметіон","ademetionine"
"http://utis.in.ua/heparin/","Гепарин","heparin"
"http://utis.in.ua/hepatitisa/","Гепатит A – вакцина","hepatitisa"
"http://utis.in.ua/hepatitis-b-vaccine/","Гепатит В – вакцина","hepatitis-b-vaccine"
"http://utis.in.ua/hepatitis-c/","Гепатит С та вагітність","hepatitis-c"
"http://utis.in.ua/cefoperazone/","Гепацеф","cefoperazone"
"http://utis.in.ua/adefovir/","Гепсера","adefovir"
"http://utis.in.ua/heptachlor/","Гептахлор","heptachlor"
"http://utis.in.ua/heptachlor/","Гептахлор епоксид","heptachlor"
"http://utis.in.ua/ademetionine/","Гептрал","ademetionine"
"http://utis.in.ua/hypericum/","Гербіон гіперикум","hypericum"
"http://utis.in.ua/phenazopyridine/","Герідіум","phenazopyridine"
"http://utis.in.ua/heroin/","Героїн","heroin"
"http://utis.in.ua/acyclovir/","Герпевір","acyclovir"
"http://utis.in.ua/acyclovir/","Герпекс","acyclovir"
"http://utis.in.ua/acyclovir/","Герперакс","acyclovir"
"http://utis.in.ua/acyclovir/","Герпесин","acyclovir"
"http://utis.in.ua/hesperidin/","Гесперидин","hesperidin"
"http://utis.in.ua/chickenpox/","Герпетична інфекція","chickenpox"
"http://utis.in.ua/herpetic/","Герпетична інфекція та вагітність","herpetic"
"http://utis.in.ua/trastuzumab/","Герцептин","trastuzumab"
"http://utis.in.ua/turinal/","Гестанін","turinal"
"http://utis.in.ua/turinal/","Гестанол","turinal"
"http://utis.in.ua/ethisterone/","Гесторал","ethisterone"
"http://utis.in.ua/gefitinib/","Гефітиніб","gefitinib"
"http://utis.in.ua/terazosin/","Гитрин","terazosin"
"http://utis.in.ua/chlorhexidine/","Гібікленс","chlorhexidine"
"http://utis.in.ua/chlorhexidine/","Гібітан","chlorhexidine"
"http://utis.in.ua/brucellosis-and-pregnancy/","Гібралтарська гарячка","brucellosis-and-pregnancy"
"http://utis.in.ua/chlorthalidone-2/","Гігротон","chlorthalidone-2"
"http://utis.in.ua/phenytoin-2/","Гідантоїн","phenytoin-2"
