"Medicine name","EML section","Formulations","Indication","Combined with","Status","atc_classification"
"BCG vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against tuberculosis","","Added","L03AX03"
"Japanese encephalitis vaccine","Recommendations for certain regions","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against certain single viral diseases","","Added","J07BA02"
"Japanese encephalitis vaccine","Recommendations for certain regions","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against certain single viral diseases","","Added","J07BA03"
"Medicines for COVID-19","Medicines for COVID-19","Refer to WHO living guidelines","COVID-19","","Added","nan"
"abacavir","Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors","Oral > Solid: 300 mg tablet (as sulfate)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AF06"
"abacavir + lamivudine","Fixed-dose combinations of antiretrovirals","Oral > Solid: 120 mg (as sulfate) + 60 mg tablet (dispersible, scored)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AR02"
"abacavir + lamivudine + lopinavir + ritonavir","Fixed-dose combinations of antiretrovirals","Oral > Solid: 30 mg + 15 mg + 40 mg + 10 mg capsule containing oral granules","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","nan"
"abiraterone","Hormones and antihormones","Oral > Solid: 250 mg; 500 mg","Malignant neoplasms of prostate","","Added","L02BX03"
"acetazolamide","Ophthalmological preparations > Miotics and antiglaucoma medicines","Oral > Solid: 250 mg","Primary open-angle glaucoma","","Added","S01EC01"
"acetic acid","Ear, nose and throat medicines [c]","Local > Otological > drops: 2% in alcohol","Infectious diseases of external ear","","Added","S02AA10"
"acetylcysteine","Antidotes and other substances used in poisonings > Specific","Parenteral > General injections > IV: 200 mg per  mL in 10 mL ampoule
Oral > Liquid: 10%; 20%","Exposure to or harmful effects of undetermined intent of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs","","Added","V03AB23"
"acetylcysteine","Antidotes and other substances used in poisonings > Specific","Parenteral > General injections > IV: 200 mg per  mL in 10 mL ampoule
Oral > Liquid: 10%; 20%","Acute or subacute hepatic failure","","Removed","V03AB23"
"acetylsalicylic acid","Antimigraine medicines > For treatment of acute attack","Oral > Solid: 300 to 500 mg","Migraine","","Added","N02BA01"
"acetylsalicylic acid","Anti-platelet medicines","Oral > Solid: 100 mg","Acute myocardial infarction","","Added","B01AC06"
"acetylsalicylic acid","Anti-platelet medicines","Oral > Solid: 100 mg","Cerebral ischaemic stroke","","Added","B01AC06"
"acetylsalicylic acid","Medicines for juvenile joint diseases","Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg","Acute rheumatic fever without mention of heart involvement","","Added","N02BA01"
"acetylsalicylic acid","Medicines for juvenile joint diseases","Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg","Mucocutaneous lymph node syndrome","","Added","N02BA01"
"acetylsalicylic acid","Medicines for juvenile joint diseases","Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg","Juvenile idiopathic arthritis","","Added","N02BA01"
"acetylsalicylic acid","Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs)","Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg","Pain","","Added","N02BA01"
"aciclovir","Antiherpes medicines","Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet","Zoster","","Added","J05AB01"
"aciclovir","Antiherpes medicines","Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet","Varicella","","Added","J05AB01"
"aciclovir","Antiherpes medicines","Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet","Herpes simplex infections","","Added","J05AB01"
"aciclovir","Ophthalmological preparations > Anti-infective agents","Local > Ophthalmological > Ointment: 3% w/w","Herpes simplex keratitis","","Added","S01AD03"
"aclidinium","Antiasthmatic and medicines for chronic obstructive pulmonary disease","","Chronic obstructive pulmonary disease","","Added","nan"
"activated charcoal","Antidotes and other substances used in poisonings > Non-specific","Oral > Other: powder","Unspecified injury, poisoning or certain other consequences of external causes","","Added","A07BA01"
"adalimumab","Immunomodulators for non-malignant disease","Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL","Axial spondyloarthritis","","Added","L04AB04"
"adalimumab","Immunomodulators for non-malignant disease","Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL","Crohn disease site","","Added","L04AB04"
"adalimumab","Immunomodulators for non-malignant disease","Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL","Rheumatoid arthritis","","Added","L04AB04"
"adalimumab","Medicines for juvenile joint diseases","Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL","Juvenile idiopathic arthritis","","Added","L04AB04"
"afatinib","Targeted therapies","","Other specified malignant neoplasms of bronchus or lung","","Added","nan"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Echinococcosis","","Added","P02CA03"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Ascariasis","","Added","P02CA03"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Enterobiasis","","Added","P02CA03"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Trichuriasis","","Added","P02CA03"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Hookworm diseases","","Added","P02CA03"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Cysticercosis","","Added","P02CA03"
"albendazole","Cysticidal medicines","Oral > Solid > tablet: 400 mg (chewable, scored); 200 mg (chewable)","Other specified echinococcosis","","Added","P02CA03"
"albendazole","Cysticidal medicines","Oral > Solid > tablet: 400 mg (chewable, scored); 200 mg (chewable)","Cysticercosis of central nervous system","","Added","P02CA03"
"albendazole","Antifilarials","Oral > Solid > tablet: 400 mg (chewable, scored)","Filariasis","","Added","P02CA03"
"alcohol based hand rub","Disinfectants","Local > Topical > Solution: 80% v/v ethanol; 75% v/v isopropyl alcohol","Denatured alcohol","","Added","D08AX08"
"alcuronium","Muscle relaxants (peripherally-acting) and cholinesterase inhibitors","Parenteral > General injections > IV: 5 mg per  mL in 2 mL ampoule (alcuronium chloride)","Muscle relaxants","","Removed","M03AA01"
"all-trans retinoic acid","Targeted therapies","Oral > Solid: 10 mg capsule","Acute myeloid leukaemia with recurrent genetic abnormalities","","Added","L01XF01"
"allopurinol","Medicines used to treat gout","Oral > Solid: 100 mg","Gout","","Added","M04AA01"
"allopurinol","Supportive medicines","Oral > Solid: 100 mg; 300 mg","Tumour lysis syndrome","","Added","M04AA01"
"alteplase","Thrombolytic medicines","Parenteral > General injections > IV: 10 mg in vial powder for injection; 20 mg in vial powder for injection; 50 mg in vial powder for injection","Cerebral ischaemic stroke","","Added","B01AD02"
"amidotrizoate","Diagnostic agents > Radiocontrast media","Parenteral > General injections > unspecified: 140 to 420 mg iodine per  mL in 20 mL ampoule (as sodium or meglumine salt)","Amidotrizoate","","Added","V08AA01"
