"medicine_name","eml_section","formulations","indication","combined_with","status","atc_classification","source"
"bcg vaccine","Recommendations for all immunization programmes","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against tuberculosis","","Added","L03AX03","who.int"
"japanese encephalitis vaccine","Recommendations for certain regions","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against certain single viral diseases","","Added","J07BA02","who.int"
"japanese encephalitis vaccine","Recommendations for certain regions","All vaccines should comply with the WHO requirements for biological substances.","Need for immunization against certain single viral diseases","","Added","J07BA03","who.int"
"medicines for covid-19","Medicines for COVID-19","Refer to WHO living guidelines","COVID-19","","Added","nan","who.int"
"abacavir","Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors","Oral > Solid: 300 mg tablet (as sulfate)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AF06","who.int"
"abacavir + lamivudine","Fixed-dose combinations of antiretrovirals","Oral > Solid: 120 mg (as sulfate) + 60 mg tablet (dispersible, scored)","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Added","J05AR02","who.int"
"abacavir + lamivudine + lopinavir + ritonavir","Fixed-dose combinations of antiretrovirals","Oral > Solid: 30 mg + 15 mg + 40 mg + 10 mg capsule containing oral granules","Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified","","Removed","nan","who.int"
"abiraterone","Hormones and antihormones","Oral > Solid: 250 mg; 500 mg","Malignant neoplasms of prostate","","Added","L02BX03","who.int"
"acetazolamide","Ophthalmological preparations > Miotics and antiglaucoma medicines","Oral > Solid: 250 mg","Primary open-angle glaucoma","","Added","S01EC01","who.int"
"acetic acid","Ear, nose and throat medicines [c]","Local > Otological > drops: 2% in alcohol","Infectious diseases of external ear","","Added","S02AA10","who.int"
"acetylcysteine","Antidotes and other substances used in poisonings > Specific","Parenteral > General injections > IV: 200 mg per  mL in 10 mL ampoule
Oral > Liquid: 10%; 20%","Exposure to or harmful effects of undetermined intent of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs","","Added","V03AB23","who.int"
"acetylcysteine","Antidotes and other substances used in poisonings > Specific","Parenteral > General injections > IV: 200 mg per  mL in 10 mL ampoule
Oral > Liquid: 10%; 20%","Acute or subacute hepatic failure","","Removed","V03AB23","who.int"
"acetylsalicylic acid","Antimigraine medicines > For treatment of acute attack","Oral > Solid: 300 to 500 mg","Migraine","","Added","N02BA01","who.int"
"acetylsalicylic acid","Anti-platelet medicines","Oral > Solid: 100 mg","Acute myocardial infarction","","Added","B01AC06","who.int"
"acetylsalicylic acid","Anti-platelet medicines","Oral > Solid: 100 mg","Cerebral ischaemic stroke","","Added","B01AC06","who.int"
"acetylsalicylic acid","Medicines for juvenile joint diseases","Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg","Acute rheumatic fever without mention of heart involvement","","Added","N02BA01","who.int"
"acetylsalicylic acid","Medicines for juvenile joint diseases","Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg","Mucocutaneous lymph node syndrome","","Added","N02BA01","who.int"
"acetylsalicylic acid","Medicines for juvenile joint diseases","Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg","Juvenile idiopathic arthritis","","Added","N02BA01","who.int"
"acetylsalicylic acid","Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs)","Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg","Pain","","Added","N02BA01","who.int"
"aciclovir","Antiherpes medicines","Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet","Zoster","","Added","J05AB01","who.int"
"aciclovir","Antiherpes medicines","Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet","Varicella","","Added","J05AB01","who.int"
"aciclovir","Antiherpes medicines","Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet","Herpes simplex infections","","Added","J05AB01","who.int"
"aciclovir","Ophthalmological preparations > Anti-infective agents","Local > Ophthalmological > Ointment: 3% w/w","Herpes simplex keratitis","","Added","S01AD03","who.int"
"aclidinium","Antiasthmatic and medicines for chronic obstructive pulmonary disease","","Chronic obstructive pulmonary disease","","Added","nan","who.int"
"activated charcoal","Antidotes and other substances used in poisonings > Non-specific","Oral > Other: powder","Unspecified injury, poisoning or certain other consequences of external causes","","Added","A07BA01","who.int"
"adalimumab","Immunomodulators for non-malignant disease","Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL","Axial spondyloarthritis","","Added","L04AB04","who.int"
"adalimumab","Immunomodulators for non-malignant disease","Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL","Crohn disease site","","Added","L04AB04","who.int"
"adalimumab","Immunomodulators for non-malignant disease","Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL","Rheumatoid arthritis","","Added","L04AB04","who.int"
"adalimumab","Medicines for juvenile joint diseases","Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL","Juvenile idiopathic arthritis","","Added","L04AB04","who.int"
"afatinib","Targeted therapies","","Other specified malignant neoplasms of bronchus or lung","","Added","nan","who.int"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Echinococcosis","","Added","P02CA03","who.int"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Ascariasis","","Added","P02CA03","who.int"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Enterobiasis","","Added","P02CA03","who.int"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Trichuriasis","","Added","P02CA03","who.int"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Hookworm diseases","","Added","P02CA03","who.int"
"albendazole","Intestinal anthelminthics","Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))","Cysticercosis","","Added","P02CA03","who.int"
"albendazole","Cysticidal medicines","Oral > Solid > tablet: 400 mg (chewable, scored); 200 mg (chewable)","Other specified echinococcosis","","Added","P02CA03","who.int"
