"id","label_uk","label_ru","label_fr","label_en","alias_list_uk","alias_list_ru","alias_list_fr","alias_list_en","chembl_id","chebi_id","atc_code","rxnorm","ukwiki_sitelink","frwiki_sitelink","ruwiki_sitelink","enwiki_sitelink","tallman_name"
"Q688","хлор","хлор","chlore","chlorine","['cl']","['cl']","['cl', 'élément 17', '17cl', 'bertholite']","['cl', 'element 17', '17cl', 'bertholite']","","23116","","","https://uk.wikipedia.org/wiki/%D0%A5%D0%BB%D0%BE%D1%80","https://fr.wikipedia.org/wiki/Chlore","https://ru.wikipedia.org/wiki/%D0%A5%D0%BB%D0%BE%D1%80","https://en.wikipedia.org/wiki/Chlorine",""
"Q706","кальцій","кальций","calcium","calcium","['ca']","['ca']","['ca', 'élément 20', '20ca']","['ca', 'element 20', '20ca']","","22984","","1895","https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D1%8C%D1%86%D1%96%D0%B9","https://fr.wikipedia.org/wiki/Calcium","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D1%8C%D1%86%D0%B8%D0%B9","https://en.wikipedia.org/wiki/Calcium",""
"Q940","наркотик","наркотик","narcotique","narcotic","[]","[]","['stupéfiant']","['drug', 'narcotics']","","","","","https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BA%D0%BE%D1%82%D0%B8%D0%BA","https://fr.wikipedia.org/wiki/Narcotique","https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BA%D0%BE%D1%82%D0%B8%D0%BA","https://en.wikipedia.org/wiki/Narcotic",""
"Q12187","антибіотик","антибиотик","antibiotique","antibiotic","[]","['антибиотики']","[]","['antibacterial drug', 'anti-bacterial agent', 'antibacterial agent', 'anti-bacterial agents']","","36047","","","https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B1%D1%96%D0%BE%D1%82%D0%B8%D0%BA%D0%B8","https://fr.wikipedia.org/wiki/Antibiotique","https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B1%D0%B8%D0%BE%D1%82%D0%B8%D0%BA%D0%B8","https://en.wikipedia.org/wiki/Antibiotic",""
"Q14076","презерватив","презерватив","préservatif","condom","[]","[]","['condom', 'capote', 'capote anglaise', 'contraceptif mécanique masculin', 'préservatif masculin']","['condoms', 'prophylactic', 'prophylactics', 'rubber', 'rubbers', 'sheath contraceptive']","","","","","https://uk.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D1%80%D0%B2%D0%B0%D1%82%D0%B8%D0%B2","https://fr.wikipedia.org/wiki/Pr%C3%A9servatif","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D1%80%D0%B2%D0%B0%D1%82%D0%B8%D0%B2","https://en.wikipedia.org/wiki/Condom",""
"Q28165","кориця","корица","cannelle","cinnamon","['цинамон', 'коричне дерево', 'cinnamomum verum']","[]","['cinnamomum verum']","['cinnammon', 'true cinnamon']","","","","","https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B8%D1%86%D1%8F_(%D0%BF%D1%80%D1%8F%D0%BD%D0%BE%D1%89%D1%96)","https://fr.wikipedia.org/wiki/Cannelle","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B8%D1%86%D0%B0_(%D0%BF%D1%80%D1%8F%D0%BD%D0%BE%D1%81%D1%82%D1%8C)","https://en.wikipedia.org/wiki/Cinnamon",""
"Q29505","туберкулін","туберкулин","tuberculine","tuberculin","[]","[]","[]","[]","","","V04CF01","","https://uk.wikipedia.org/wiki/%D0%A2%D1%83%D0%B1%D0%B5%D1%80%D0%BA%D1%83%D0%BB%D1%96%D0%BD","https://fr.wikipedia.org/wiki/Tuberculine","https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%B1%D0%B5%D1%80%D0%BA%D1%83%D0%BB%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Tuberculin",""
"Q44543","","гормональные инъекции","depo-provera","depo-provera","[]","[]","[]","['depo-subq provera 104']","","","","202886","","https://fr.wikipedia.org/wiki/Depo-Provera","https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BC%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5_%D0%B8%D0%BD%D1%8A%D0%B5%D0%BA%D1%86%D0%B8%D0%B8","https://en.wikipedia.org/wiki/Depot_medroxyprogesterone_acetate",""
"Q45071","","прогестогены","progestatif","progestogen","[]","['прогестоген', 'прогестаген', 'прогестагены']","['gestagène', 'progestagene', 'progestogène']","['progestagen', 'gestagen']","","50745","","","","https://fr.wikipedia.org/wiki/Progestatif","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%B3%D0%B5%D1%81%D1%82%D0%BE%D0%B3%D0%B5%D0%BD%D1%8B","https://en.wikipedia.org/wiki/Progestogen",""
"Q46452","опіум","опиум","opium","opium","['опій']","['опий']","[]","['poppy tears', 'black spice', 'wuxiang']","","","A07DA02","7676","https://uk.wikipedia.org/wiki/%D0%9E%D0%BF%D1%96%D1%83%D0%BC","https://fr.wikipedia.org/wiki/Opium","https://ru.wikipedia.org/wiki/%D0%9E%D0%BF%D0%B8%D1%83%D0%BC","https://en.wikipedia.org/wiki/Opium",""
"Q48832","олія чайного дерева","масло чайного дерева","huile d'arbre à thé","tea tree oil","['олійка чайного дерева']","[]","['mélasol', 'arbre à thé (huile)', 'ti-tree', 'huile de melaleuca']","['melaleucae aetheroleum', 'melaleuca oil', 'australian tea tree oil', 'tea tree oil', 'melaleuca alternifolia oil', 'melasol', 'tea-tree oils']","","","","","https://uk.wikipedia.org/wiki/%D0%9E%D0%BB%D1%96%D1%8F_%D1%87%D0%B0%D0%B9%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%B0","https://fr.wikipedia.org/wiki/Huile_essentielle_d%27arbre_%C3%A0_th%C3%A9","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D0%BB%D0%BE_%D1%87%D0%B0%D0%B9%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%B0","https://en.wikipedia.org/wiki/Tea_tree_oil",""
"Q73988","ченпі","","chenpi","chenpi","[]","[]","[]","['mandarin orange peel', 'chen pi', 'chimpi', 'aurantii nobilis pericarpium', 'citrus unshiu peel', 'aged mikan orange peel']","","","","","","https://fr.wikipedia.org/wiki/Chenpi","","https://en.wikipedia.org/wiki/Chenpi",""
"Q79448","імуноглобуліни класу g","immunoglobulin g","immunoglobuline g","immunoglobulin g","[]","[]","[]","['igg', 'immunoglobulin g', 'human immunoglobulin g', 'ivig', 'human igg', 'human gammaglobulin', 'human normal immunoglobulin', 'flebogammadif', 'human normal immunoglobulin (ivig)', 'igiv', 'newgam', 'immunoglobulin g, human', 'immunoglobulin g (human)', 'npb-01', 'normal immunoglobulins']","","","J06BA02","1426680","https://uk.wikipedia.org/wiki/%D0%86%D0%BC%D1%83%D0%BD%D0%BE%D0%B3%D0%BB%D0%BE%D0%B1%D1%83%D0%BB%D1%96%D0%BD%D0%B8_%D0%BA%D0%BB%D0%B0%D1%81%D1%83_G","https://fr.wikipedia.org/wiki/Immunoglobuline_G","https://ru.wikipedia.org/wiki/%D0%98%D0%BC%D0%BC%D1%83%D0%BD%D0%BE%D0%B3%D0%BB%D0%BE%D0%B1%D1%83%D0%BB%D0%B8%D0%BD%D1%8B_G","https://en.wikipedia.org/wiki/Immunoglobulin_G",""
"Q83165","мускатник","мускатный орех","noix de muscade","nutmeg","['мускатні горіхи', 'мускатний горіх', 'мускат']","['мускатник', 'миристика', 'myristica', 'мускатника', 'мускатное эфирное масло']","['noix muscade']","['nutmeg']","","","","","","https://fr.wikipedia.org/wiki/Noix_de_muscade","https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%81%D0%BA%D0%B0%D1%82%D0%BD%D1%8B%D0%B9_%D0%BE%D1%80%D0%B5%D1%85","https://en.wikipedia.org/wiki/Nutmeg",""
"Q117749","вакцина проти гепатиту в","вакцина против вируса гепатита b","vaccin contre l'hépatite b","hepatitis b vaccine","[]","['вакцина против гепатита b', 'вакцина против гепатита в', 'эувакс в', 'вакцина против вируса гепатита в']","['vaccin hépatite b', 'vaccin de lhépatite b']","['hepatitis b vaccines', 'hbv vaccine']","","","J07BC01","","https://uk.wikipedia.org/wiki/%D0%92%D0%B0%D0%BA%D1%86%D0%B8%D0%BD%D0%B0_%D0%BF%D1%80%D0%BE%D1%82%D0%B8_%D0%B3%D0%B5%D0%BF%D0%B0%D1%82%D0%B8%D1%82%D1%83_%D0%92","https://fr.wikipedia.org/wiki/Vaccin_contre_l%27h%C3%A9patite_B","https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%BA%D1%86%D0%B8%D0%BD%D0%B0_%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2_%D0%B3%D0%B5%D0%BF%D0%B0%D1%82%D0%B8%D1%82%D0%B0_B","https://en.wikipedia.org/wiki/Hepatitis_B_vaccine",""
"Q120424","перуанський бальзам","перуанский бальзам","baumier du pérou","balsam of peru","[]","['перувианский бальзам', 'перуанский бальзам']","[]","['peru balsam']","","","","","https://uk.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D1%83%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%B1%D0%B0%D0%BB%D1%8C%D0%B7%D0%B0%D0%BC","https://fr.wikipedia.org/wiki/Baumier_du_P%C3%A9rou","https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D1%83%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%B1%D0%B0%D0%BB%D1%8C%D0%B7%D0%B0%D0%BC","https://en.wikipedia.org/wiki/Balsam_of_Peru",""
"Q165431","","трава пустырника","agripaume (parties aériennes d')","motherwort herb","[]","['herba leonuri', 'leonuri herba']","[]","['motherwort', 'leonuri cardiacae herba']","","","","","","","https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B0%D0%B2%D0%B0_%D0%BF%D1%83%D1%81%D1%82%D1%8B%D1%80%D0%BD%D0%B8%D0%BA%D0%B0","",""
"Q167732","","fen - phen .   redux","fenfluramine/phentermine","fenfluramine/phentermine","[]","[]","[]","['fen-phen']","","","","","","https://fr.wikipedia.org/wiki/Fenfluramine/phentermine","","https://en.wikipedia.org/wiki/Fenfluramine/phentermine",""
"Q173486","ладан","ладан","encens","frankincense","[]","['олибанум', 'ладан обыкновенный', 'олибан']","['oliban', 'encensement']","['frankincense']","","","","","https://uk.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B4%D0%B0%D0%BD","https://fr.wikipedia.org/wiki/Encens_(r%C3%A9sine_oliban)","https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B4%D0%B0%D0%BD","https://en.wikipedia.org/wiki/Frankincense",""
"Q185690","адренокортикотропний гормон","адренокортикотропный гормон","hormone corticotrope","corticotropin","['кортикотропін', 'актг']","['актг', 'адренотропин', 'адренокортикотропин', 'кортикотропин', 'кортикотропный гормон', 'адренотропный гормон']","['corticotrophine', 'acth', 'hormone adrénocorticotrope', 'corticostimuline', 'corticotropine']","['acth', 'acthar', 'purified cortrophin gel', 'h.p. acthar gel', 'cortigel', 'cortrophin', 'pomc(138-176)', 'adrenomone', 'adrenocorticotropin', 'adrenocorticotropic hormone', 'corticotrophin']","CHEMBL1201610","3892","H01AA01","376","https://uk.wikipedia.org/wiki/%D0%90%D0%B4%D1%80%D0%B5%D0%BD%D0%BE%D0%BA%D0%BE%D1%80%D1%82%D0%B8%D0%BA%D0%BE%D1%82%D1%80%D0%BE%D0%BF%D0%BD%D0%B8%D0%B9_%D0%B3%D0%BE%D1%80%D0%BC%D0%BE%D0%BD","https://fr.wikipedia.org/wiki/Hormone_corticotrope","https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D1%80%D0%B5%D0%BD%D0%BE%D0%BA%D0%BE%D1%80%D1%82%D0%B8%D0%BA%D0%BE%D1%82%D1%80%D0%BE%D0%BF%D0%BD%D1%8B%D0%B9_%D0%B3%D0%BE%D1%80%D0%BC%D0%BE%D0%BD","https://en.wikipedia.org/wiki/Adrenocorticotropic_hormone",""
"Q190016","гепарин","гепарин","héparine","heparin","['гепарини']","[]","['heparine', 'c12h19no20s3', '9005-49-6']","['calciparine', 'heparinic acid', 'liquaemin', 'heparinate', 'hep-lock', 'panheprin', 'sodium heparin', 'heparin sodium']","CHEMBL1909300","28304","B01AB01","5224","https://uk.wikipedia.org/wiki/%D0%93%D0%B5%D0%BF%D0%B0%D1%80%D0%B8%D0%BD","https://fr.wikipedia.org/wiki/H%C3%A9parine","https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BF%D0%B0%D1%80%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Heparin",""
"Q190878","активоване вугілля","активированный уголь","charbon actif","activated carbon","[]","['уголь активированный', 'ультра-адсорб', 'ультраадсорб']","['e153', 'charbon activé', 'charbon végétal médicinal', 'charbon de bois activé']","['activated charcoal', 'active carbon', 'ast-120', 'activated coal']","","","","","https://uk.wikipedia.org/wiki/%D0%90%D0%BA%D1%82%D0%B8%D0%B2%D0%BE%D0%B2%D0%B0%D0%BD%D0%B5_%D0%B2%D1%83%D0%B3%D1%96%D0%BB%D0%BB%D1%8F","https://fr.wikipedia.org/wiki/Charbon_actif","https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%82%D0%B8%D0%B2%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9_%D1%83%D0%B3%D0%BE%D0%BB%D1%8C","https://en.wikipedia.org/wiki/Activated_carbon",""
