REVIEW_PANEL|MEDICALSPECIALTY|PRODUCTCODE|DEVICENAME|DEVICECLASS|UNCLASSIFIED_REASON|GMPEXEMPTFLAG|THIRDPARTYFLAG|REVIEWCODE|REGULATIONNUMBER|SUBMISSION_TYPE_ID|DEFINITION|PHYSICALSTATE|TECHNICALMETHOD|TARGETAREA|Implant_Flag|Life_Sustain_support_flag|SummaryMalfunctionReporting
AN|AN|BRW|Protector, Dental|1||N|N||868.5820|4|||||N|N|Eligible
AN|AN|BRX|Stool, Anesthesia|1||N|N||868.6700|4|||||N|N|Eligible
AN|AN|BRY|Cabinet, Table And Tray, Anesthesia|1||N|N||868.6100|4|||||N|N|Eligible
AN|AN|BSE|Analyzer, Gas, Helium, Gaseous-Phase|2||N|Y||868.1640|1|||||N|N|Eligible
AN|AN|BSF|Absorber, Carbon-Dioxide|1||N|N||868.5310|4|||||N|N|Eligible
AN|AN|BSI|Algesimeter, Powered|2||N|N||868.1040|4|||||N|N|Eligible
AN|AN|BSJ|Mask, Gas, Anesthetic|1||N|N||868.5550|4|||||N|N|Eligible
AN|AN|BSK|Cuff, Tracheal Tube, Inflatable|2||N|Y||868.5750|1|||||N|Y|Eligible
AN|AN|BSN|Filter, Conduction, Anesthetic|2||N|Y||868.5130|1|||||N|N|Eligible
AN|AN|BSO|Catheter, Conduction, Anesthetic|2||N|Y||868.5120|1|||||N|N|Eligible
AN|AN|BSP|Needle, Conduction, Anesthetic (W/Wo Introducer)|2||N|Y||868.5150|1|||||N|N|Eligible
AN|AN|BSR|Stylet, Tracheal Tube|1||N|N||868.5790|4|||||N|N|Eligible
AN|AN|BSY|Catheters, Suction, Tracheobronchial|1||N|N||868.6810|4|||||N|N|Eligible
AN|AN|BSZ|Gas-Machine, Anesthesia|2||N|N||868.5160|1|||||N|Y|Ineligible
AN|AN|BTB|Hook, Ether|1||Y|N||868.5420|4|||||N|N|Eligible
AN|AN|BTC|Bag, Reservoir|1||N|N||868.5320|4|||||N|N|Eligible
AN|AN|BTI|Compressor, Air, Portable|2||N|N||868.6250|4|||||N|N|Eligible
AN|AN|BTK|Strap, Head, Gas Mask|1||N|N||868.5560|4|||||N|N|Eligible
AN|AN|BTL|Ventilator, Emergency, Powered (Resuscitator)|2||N|N||868.5925|1|||||N|Y|Eligible
AN|AN|BTM|Ventilator, Emergency, Manual (Resuscitator)|2||N|Y||868.5915|1|||||N|Y|Eligible
AN|AN|BTO|Tube, Tracheostomy (W/Wo Connector)|2||N|Y||868.5800|1|||||N|Y|Eligible
AN|AN|BTP|Dropper, Ether|1||Y|N||868.5420|4|||||N|N|Eligible
AN|AN|BTQ|Airway, Nasopharyngeal|1||N|N||868.5100|4|||||N|N|Eligible
AN|AN|BTR|Tube, Tracheal (W/Wo Connector)|2||N|N||868.5730|1|||||N|Y|Eligible
AN|AN|BTS|Tube, Bronchial (W/Wo Connector)|2||N|N||868.5720|1|||||N|Y|Eligible
AN|AN|BTT|Humidifier, Respiratory Gas, (Direct Patient Interface)|2||N|N||868.5450|1|||||N|N|Eligible
AN|AN|BTY|Calculator, Predicted Values, Pulmonary Function|2||N|Y||868.1890|1|||||N|N|Eligible
AN|AN|BWB|Forceps, Tube Introduction|1||N|N||868.5780|4|||||N|N|Eligible
AN|AN|BWC|Needle, Emergency Airway|2||N|Y||868.5090|1|||||N|Y|Eligible
AN|AN|BWF|Spirometer, Therapeutic (Incentive)|2||N|Y||868.5690|1|||||N|N|Eligible
AN|AN|BWL|Apparatus, Electronanesthesia|3||N|N||868.5400|2|Call for PMAs 12/26/96 (61 FR 50706 (9/27/96))||||N|N|Eligible
AN|AN|BXA|Analyzer, Gas, Water Vapor, Gaseous-Phase|1||N|N||868.1975|4|||||N|N|Eligible
AN|AN|BXH|Gauge, Gas Pressure, Cylinder/Pipeline|1||N|N||868.2610|4|||||N|N|Eligible
AN|AN|BXJ|Clip, Nose|1||Y|N||868.6225|4|||||N|N|Eligible
AN|AN|BXK|Gas, Calibration (Specified Concentration)|1||N|N||868.6400|4|||||N|N|Eligible
AN|AN|BXL|Algesimeter, Manual|1||Y|N||868.1030|4|||||N|N|Eligible
AN|AN|BXM|Stimulator, Nerve, Ac-Powered|2||N|Y||868.2775|1|||||N|N|Eligible
AN|AN|BXN|Stimulator, Nerve, Battery-Powered|2||N|Y||868.2775|1|||||N|N|Eligible
AN|AN|BXO|Transducer, Gas Pressure|1||N|N||868.2900|4|||||N|N|Eligible
AN|AN|BXP|Transducer, Gas Flow|1||N|N||868.2885|4|||||N|N|Eligible
AN|AN|BXQ|Rhinoanemometer (Measurement Of Nasal Decongestion)|2||N|Y||868.1800|1|||||N|N|Eligible
AN|AN|BXR|Meter, Airway Pressure (Inspiratory Force)|2||N|Y||868.1780|1|||||N|N|Eligible
AN|AN|BXW|Calibrator, Volume, Gas|1||N|N||868.1870|4|||||N|N|Eligible
AN|AN|BXX|Calibrator, Pressure, Gas|1||N|N||868.2620|4|||||N|N|Eligible
AN|AN|BXY|Flowmeter, Calibration, Gas|1||N|N||868.2350|4|||||N|N|Eligible
AN|AN|BYD|Condenser, Heat And Moisture (Artificial Nose)|1||N|N||868.5375|4|||||N|N|Eligible
AN|AN|BYE|Attachment, Breathing, Positive End Expiratory Pressure|2||N|N||868.5965|1|||||N|Y|Eligible
AN|AN|BYF|Mask, Oxygen, Low Concentration, Venturi|1||N|N||868.5600|4|||||N|N|Eligible
AN|AN|BYG|Mask, Oxygen|1||N|N||868.5580|4|||||N|N|Eligible
AN|AN|BYH|Drain, Tee (Water Trap)|1||N|N||868.5995|4|||||N|N|Eligible
AN|AN|BYI|Percussor, Powered-Electric|2||N|Y||868.5665|1|||||N|N|Eligible
AN|AN|BYJ|Unit, Liquid-Oxygen, Portable|2||N|Y||868.5655|1|||||N|N|Eligible
AN|AN|BYK|Tent, Oxygen, Electrically Powered|2||N|N||868.5710|1|||||N|Y|Eligible
AN|AN|BYL|Tent, Oxygen|1||N|N||868.5700|4|||||N|N|Eligible
AN|AN|BYM|Tube, Thorpe, Uncompensated|1||N|N||868.2320|4|||||N|N|Eligible
AN|AN|BYN|Chair, Posture, For Cardiac And Pulmonary Treatment|1||N|N||868.5365|4|||||N|N|Eligible
AN|AN|BYO|Bottle, Blow|1||Y|N||868.5220|4|||||N|N|Eligible
AN|AN|BYP|Mouthpiece, Breathing|1||N|N||868.5620|4|||||N|N|Eligible
AN|AN|BYR|Transducer, Gas Pressure, Differential|1||N|N||868.2875|4|||||N|N|Eligible
AN|AN|BYT|Ventilator, External Body, Negative Pressure, Adult (Cuirass)|2||N|N||868.5935|1|||||N|Y|Eligible
AN|AN|BYW|Device, Rebreathing|1||N|N||868.5675|4|||||N|N|Eligible
AN|AN|BYX|Tubing, Pressure And Accessories|1||N|N||868.5860|4|||||N|N|Eligible
AN|AN|BZA|Connector, Airway (Extension)|1||N|N||868.5810|4|||||N|N|Eligible
AN|AN|BZB|Catheter, Nasal, Oxygen|1||N|N||868.5350|4|||||N|N|Eligible
AN|AN|BZC|Calculator, Pulmonary Function Data|2||N|Y||868.1880|1|||||N|N|Eligible
AN|AN|BZD|Ventilator, Non-Continuous (Respirator)|2||N|N||868.5905|1|||||N|N|Eligible
AN|AN|BZE|Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer|2||N|Y||868.5270|1|||||N|N|Eligible
AN|AN|BZG|Spirometer, Diagnostic|2||N|Y||868.1840|1|||||N|N|Eligible
AN|AN|BZH|Meter, Peak Flow, Spirometry|2||N|Y||868.1860|1|||||N|N|Eligible
