atc_classification,activeingredient,activeingredient_cy,brandname_uk_cy,brandname_uk_lat,manufacturer,dosage_cy,dosage,info_uk
R03B A01,Beclometasone,Беклометазон,БЕКЛАЗОН‐ЕКО,BECLAZONE‐ECO,"Нортон (Ватерфорд) Лімітед Т/А АЙВЕКС
Фармасьютикалз Ірландія Т/А Тева Фармасьютикалз
Ірландія, Ірландія","‐ Аерозоль для інгаляцій, 100 мкг/дозу у балончиках по 200 доз у
коробці
‐ Аерозоль для інгаляцій, 250 мкг/дозу у балончиках по 200 доз у
коробці","‐ aerosol for inhalation, 100 mcg / dose in cans of 200 doses in
a box
‐ aerosol for inhalation, 250 mcg / dose in cans of 200 doses in a
box",https://compendium.com.ua/info/165970/beklazon‐eko/
R03B A01,Beclometasone,Беклометазон,БЕКЛОФОРТ™ ЕВОХАЛЕР™,BECLOFORTE™ EVOHALER™,"Глаксо Веллком Продакшн,
Франція","аерозоль для інгаляцій, дозований, 250 мкг/дозу, 1
балон на 200 доз","aerosol for inhalation, dosed, 250 mcg / dose, 1 cylinder on
200 doses",https://compendium.com.ua/info/168242/
R03B A01,Beclometasone,Беклометазон,ГЛЕНБЕКАР,GLENBECAR,"Гленмарк Фармасьютикалз ЛТД., Індія","‐ аерозоль для інгаляцій, дозований, 250 мкг/дозу; по 200 доз в
контейнері
‐ аерозоль для інгаляцій, дозований, 50 мкг/дозу; по
200 доз в контейнері","‐ aerosol for inhalation, dosed, 250 mcg / dose; 200 doses in a
container
‐ aerosol for inhalation, dosed, 50 mcg / dose; 200 doses in a
container",https://mozdocs.kiev.ua/likiview.php?id=48282
R03B A02,Budesonide,Будесонід,БЕНОДИЛ,BUDESONIDE,"Фармацевтичний завод ""ПОЛЬФАРМА""
С.А., Польща","‐ суспензія для розпилення, 0,25 мг/1 мл по 2 мл у
контейнері;
‐ суспензія для розпилення, 0,5 мг/1 мл по 2 мл у
контейнері","‐ suspension for spraying, 0.25 mg / 1 ml of 2 ml in a
container;
‐ suspension for spraying, 0.5 mg / 1 ml of 2 ml in a
container",https://compendium.com.ua/info/354717/benodil/
R03B A02,Budesonide,Будесонід,БУДЕСОНІД‐ІНТЕЛІ,BUDESONID‐INTELI,"Лабораторіо Альдо‐Юніон, С.А., Іспанія","‐ інгаляція під тиском, суспензія, 200 мкг/доза, по 200 доз (10
мл) в балоні;
‐ інгаляція під тиском, суспензія, 50 мкг/доза, по
200 доз (10 мл) в балоні;","‐ inhalation under pressure, suspension, 200 μg / dose, 200 doses
(10 ml) in a cylinder;
‐ inhalation under pressure, suspension, 50 μg / dose, 200
doses (10 ml) in a cylinder;",https://compendium.com.ua/info/200281/161313/
R03B A02,Budesonide,Будесонід,БУДЕСОНІД‐ІНТЕЛІ НЕБ,BUDESONID‐INTELI NEB,ГЕНЕТІК С.П.А.,"‐ суспензія для розпилення 0,25 мг/мл, по 2 мл в однодозовому
контейнері,
‐ суспензія для розпилення
0,50 мг/мл, по 2 мл в
однодозовому контейнері,","‐ suspension for spraying 0.25 mg / ml, 2 ml in a single‐dose
container,
‐ suspension for spraying 0.50 mg / ml, 2 ml in a single‐dose
container,",https://compendium.com.ua/info/355884/539377/
R03B A02,Budesonide,Будесонід,БУДІКСОН НЕБ,BUDIXON NEB,ГЕНЕТІК С.П.А.,"‐ суспензія для розпилення по 0,5 мг/мл; по 2 мл у
контейнері;
‐ суспензія для розпилення по 0,125 мг/мл; по 2 мл у
контейнері;","‐ suspension for spraying at
0.5 mg / ml; 2 ml in a container;
‐ suspension for spraying at
0.125 mg / ml; 2 ml in a
container;",https://compendium.com.ua/info/357923/budikson‐neb/
R03B A02,Budesonide,Будесонід,НОВОПУЛЬМОН Е НОВОЛАЙЗЕР®,"NOVOPULMON® Е
NOVOLIZER®",МЕДА Фарма ГмбХ енд Ко. КГ (випуск серії),"порошок для інгаляцій дозований, 200 мкг/дозу, по 2,18 г порошку
(200 доз) у
картриджі;","powder for inhalation dosed, 200 mcg / dose, 2.18 g of powder
(200 doses) in the
cartridge;",https://compendium.com.ua/info/200079/novopul_mon‐e‐novolajzer‐sup‐sup‐/
R03B A02,Budesonide,Будесонід,ПУЛЬМІКОРТ ТУРБУХАЛЕР,PULMICORT® TURBU HALER®,"АстраЗенека АБ, Швеція","‐ порошок для інгаляцій, 100 мкг/доза по 200 доз у
інгаляторі,
‐ порошок для інгаляцій, 200
мкг/доза по 100 доз у
інгаляторі,","‐ powder for inhalation, 100 mcg / dose of 200 doses in the
inhaler,
‐ powder for inhalation, 200 mcg / dose of 100 doses in the
inhaler,",https://compendium.com.ua/info/172306/pul_mikort‐turbukhaler/
R03A C04,Fenoterol,Фенотерол,БЕРОВЕНТ‐МФ,BEROVENT‐MF,"ТОВ ""Мікрофарм"",
м.Харків, Україна","‐ аерозоль для інгаляцій дозований, 200 мкг/дозу по 15 мл (300
доз) у металевому балоні;
‐ аерозоль для інгаляцій, дозований, 100 мкг/дозу по 15 мл (300 доз)
у
металевому балоні","‐ aerosol for inhalation dosed, 200 mcg / dose of 15 ml (300
doses) in a metal canister;
‐ aerosol for inhalation, dosed, 100 mcg / dose of 15 ml (300 doses)
in a metal canister",https://mozdocs.kiev.ua/likiview.php?id=28916
R03A C04,Fenoterol,Фенотерол,БЕРОТЕК® Н,BEROTEC® N,"Берінгер Інгельхайм Фарма ГмбХ і Ко. КГ,
Нiмеччина","аерозоль дозований, 100
мкг/дозу, по 10 мл (200 доз) у металевому балончику","aerosol dosed, 100 mcg / dose, 10 ml (200 doses) in a metal
canister",https://compendium.com.ua/info/139479/berotek‐sup‐sup‐h/
R03A L01,"Fenoterol / Ipratropium
bromide","Фенотерол /
Іпратропію
бромід",БЕРОДУАЛ®,BERODUAL®,"Істітуто де Анжелі С.р.л., Італія","розчин для інгаляцій; по 20
мл або по 40 мл у флаконі;",solution for inhalation; 20 ml or 40 ml in a bottle;,https://compendium.com.ua/info/31984/17794/
R03A L01,Fenoterol / Ipratropium bromide,Фенотерол / Іпратропію бромід,БЕРОДУАЛ ® Н,BERODUAL® N,"Берінгер Інгельхайм Фарма ГмбХ і Ко. КГ,
Нiмеччина","Аерозоль дозований по 10 мл (200 доз) у металевому балончику №
1",aerosol dosed in 10 ml (200 doses) in a metal can № 1,https://compendium.com.ua/info/166071/38166/
R03A L01,Fenoterol / Ipratropium bromide,Фенотерол / Іпратропію бромід,ІПРАДУАЛ,‐,"ТОВ
""Мультіспрей"",
Україна","‐ аерозоль дозований по 20 мкг/50 мкг/доза по 200 доз у балоні №
1
‐ розчин для інгаляцій по 20
мл у флаконі з
крапельницею,","‐ aerosol dosed at 20 μg / 50 μg / dose at 200 doses in a
cylinder № 1
‐ solution for inhalation of 20 ml in a dropper bottle,",https://mozdocs.kiev.ua/likiview.php?id=43216
R03A L01,"Fenoterol / Ipratropium
bromide","Фенотерол /
Іпратропію
бромід",ФРІВЕЙ® КОМБІ,FREEWAY COMBI,"ПАТ ""Фармак"", м. Київ, Україна","розчин для інгаляцій по 20
мл або по 25 мл у флаконі;",solution for inhalation of 20 ml or 25 ml in a vial;,https://compendium.com.ua/info/328309/frivej‐kombi/
R03B A05,Fluticasone,Флутиказон,НЕБУФЛЮЗОН®,NEBUFLUSON,"ТОВ ""Юрія‐Фарм"",
м.Київ, Україна","суспензія для інгаляцій, 1,0
мг/мл по 2 мл у контейнері
однодозовому N 10","suspension for inhalation, 1.0 mg / ml in 2 ml in a
single‐dose
container No. 10",https://compendium.com.ua/info/211071/
R03B A05,Fluticasone,Флутиказон,ФЛІКСОТИД™ ЕВОХАЛЕР™,FLIXOTIDE™ EVOHALER™,"Глаксо Веллком С.А., Іспанія","‐ аерозоль для інгаляцій, дозований, 125 мкг/дозу по 60 доз або
по 120 доз в балоні
‐ аерозоль для інгаляцій, дозований, 50 мкг/дозу по
120 доз в балоні","‐ aerosol for inhalation, dosed, 125 mcg / dose of 60 doses or
120 doses in a cylinder
‐ aerosol for inhalation, dosed, 50 mcg / dose of 120 doses in a
cylinder",https://compendium.com.ua/dec/272685/
R03B A05,Fluticasone,Флутиказон,"ФЛІКСОТИД™ НЕБУ
ЛИ™","FLIXOTIDE™ NEBUL
ES™","Глаксо Веллком С.А., Іспанія","‐ суспензія для інгаляцій, 0,5
мг/2 мл по 2 мл у небулі;
‐ суспензія для інгаляцій, 2
мг/2 мл по 2 мл у небулі;","‐ suspension for inhalation, 0.5 mg / 2 ml of 2 ml in the
nebula;
‐ suspension for inhalation, 2 mg / 2 ml of 2 ml in the
nebula;",https://compendium.com.ua/info/_3469/
R03A C13,Formoterol,Формотерол,ЗАФІРОН,ZAFIRON,"АТ ""Адамед Фарма""","капсули, що містять порошок для інгаляцій, по 12 мкг по 10 капсул
у блістері; N 6 або 12 блістерів разом з
інгалятором","capsules containing powder for inhalation, 12 mcg 10 capsules in a
blister; № 6 or 12 blisters with an inhaler",https://compendium.com.ua/info/169501/zafiron/
R03A C13,Formoterol,Формотерол,ФОРАТЕК,FORATEC,"Ципла Лтд., Індія","аерозоль (суспензія) для інгаляцій, 12 мкг/дозу по 120
доз у контейнері № 1","aerosol (suspension) for inhalation, 12 μg / dose of 120
doses in a container № 1",https://mozdocs.kiev.ua/likiview.php?id=44633
