"","EN","UA","COMM"
"1","a person of old age","геронт",NA
"2","a stab of lumbago","приступ ішіасу",NA
"3","A-mode representation","одномірна ехографія",NA
"4","A-scan ultrasonography","одномірна ехографія",NA
"5","abasia","абазія",NA
"6","abasia atactica","астазія-абазія",NA
"7","Abderhalden-Fanconi syndrome","цистиноз",NA
"8","abdominal cavity","черевна порожнина","Roksolana_Hrydnova"
"9","abdominal cavity","черевна порожнина",NA
"10","abdominal (wall) hernia","грижа живота",NA
"11","abdominal migraine","болі у животі",NA
"12","abdominal pains","болі у животі",NA
"13","abdominal palpation","пальпація живота",NA
"14","abdominal pregnancy","позаматкова вагітність",NA
"15","aberrant goiter","аберантний зоб",NA
"16","abiotrophy","абіотрофія",NA
"17","abirritant","засіб, що зменшує роздратування",NA
"18","abirritant","заспокійливе",NA
"19","abirritate","зменшити роздратування",NA
"20","ablation","вирізання",NA
"21","ablepsia","сліпота",NA
"22","abluent","очисний",NA
"23","abluent","очищувальний",NA
"24","abluent","детергент",NA
"25","abort","обривати хворобу на початковій стадії",NA
"26","abort forceps","абортцанг",NA
"27","abortifacient","засіб, що викликає аборт",NA
"28","abortion forceps","абортні щипці",NA
"29","abscess","абсцес",NA
"30","abscess","нарив",NA
"31","abscess","гнійник",NA
"32","abscess","гнояк",NA
"33","abscess formation","абсцедування",NA
"34","absence","абсанс",NA
"35","absentia","абсанс",NA
"36","absorbent dressing","всмоктувальна пов'язка",NA
"37","absorbent dressing","гігроскопічна пов'язка",NA
"38","abu-muc-muc","абу-мук-мук",NA
"39","abuse","абузус",NA
"40","acanthosis nigricans","акантокератодермія",NA
"41","accessory gland","додаткова залоза",NA
"42","accident during work","виробнича аварія",NA
"43","accidental hemorrhage","раптова кровотеча",NA
"44","accumulated dose","нагромаджена доза",NA
"45","acentric","периферичний",NA
"46","acholuric jaundice","гемолітична вроджена жовтуха",NA
"47","achromatic","хворий на дальтонізм",NA
"48","achromatopsy","дальтонізм",NA
"49","acicular crystal","голчатий кристал",NA
"50","acid-ash diet","ацидотична дієта",NA
"51","acidity","підвищена кислотність",NA
"52","acidophilus milk","ацидофілін",NA
"53","acidosis","ацидоз",NA
"54","acme of a disease","криза в хворобі",NA
"55","acne rosacea","червоні вугри",NA
"56","acne simplex","вульгарні вугри",NA
"57","acne vulgaris","вульгарні вугри",NA
"58","acoria","акорія",NA
"59","acoustic agraphia","слухова аграфія",NA
"60","acquired deafness","набута глухота",NA
"61","acquired immune deficiency syndrome","синдром набутого імунодефіциту, СНІД",NA
"62","acquired immune deficiency syndrome","від синдром набутого імунодефіциту",NA
"63","acquired immunity","набутий імунітет",NA
"64","acritical","безкризовий",NA
"65","acrocephaly","гіпсицефалія",NA
"66","acrocephaly","оксицефалія",NA
"67","acrodynia","еритредема",NA
"68","acrodynic erythema","акродинія",NA
"69","acrophobia","боязнь висоти",NA
"70","acrophobia","акрофобія",NA
"71","acrotism","відсутність пульсації",NA
"72","acrotism","акротизм",NA
"73","acrylic filling","пластмасова пломба",NA
"74","act as laxative","проносити",NA
"75","actinomyces","променистий грибок",NA
"76","actinotherapy","променева терапія",NA
"77","activated epilepsy","спровокована епілепсія",NA
"78","actual cautery","термокоагуляція",NA
"79","acupuncture","голкотерапія",NA
"80","acupuncture","акупунктура",NA
"81","adamantinoma","адамантинома",NA
"82","addiction clinic","наркологічна клініка",NA
"83","addiction to morphine","морфінізм",NA
"84","Addison's disease","бронзова хвороба",NA
"85","adenitis","аденіт",NA
"86","adenoid","аденоїд",NA
"87","adenoiditis","аденоїдит",NA
"88","adenoma","аденома",NA
"89","adenoviral","аденовірусний",NA
