"Medicine name";"EML section";"Formulations";"Indication";"ATC codes";"Combined with";"Status"
"BCG vaccine";"Recommendations for all immunization programmes";"All vaccines should comply with the WHO requirements for biological substances.";"Need for immunization against tuberculosis";"L03AX03";;"Added"
"Japanese encephalitis vaccine";"Recommendations for certain regions";"All vaccines should comply with the WHO requirements for biological substances.";"Need for immunization against certain single viral diseases";"J07BA02, J07BA03";;"Added"
"Medicines for COVID-19";"Medicines for COVID-19";"Refer to WHO living guidelines";"COVID-19";;;"Added"
"abacavir";"Antiretrovirals > Nucleoside/Nucleotide reverse transcriptase inhibitors";"Oral > Solid: 300 mg tablet (as sulfate)";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AF06";;"Added"
"abacavir + lamivudine";"Fixed-dose combinations of antiretrovirals";"Oral > Solid: 120 mg (as sulfate) + 60 mg tablet (dispersible, scored)";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";"J05AR02";;"Added"
"abacavir + lamivudine + lopinavir + ritonavir";"Fixed-dose combinations of antiretrovirals";"Oral > Solid: 30 mg + 15 mg + 40 mg + 10 mg capsule containing oral granules";"Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified";;;"Removed"
"abiraterone";"Hormones and antihormones";"Oral > Solid: 250 mg; 500 mg";"Malignant neoplasms of prostate";"L02BX03";;"Added"
"acetazolamide";"Ophthalmological preparations > Miotics and antiglaucoma medicines";"Oral > Solid: 250 mg";"Primary open-angle glaucoma";"S01EC01";;"Added"
"acetic acid";"Ear, nose and throat medicines [c]";"Local > Otological > drops: 2% in alcohol";"Infectious diseases of external ear";"S02AA10";;"Added"
"acetylcysteine";"Antidotes and other substances used in poisonings > Specific";"Parenteral > General injections > IV: 200 mg per  mL in 10 mL ampoule
Oral > Liquid: 10%; 20%";"Exposure to or harmful effects of undetermined intent of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs";"V03AB23";;"Added"
"acetylcysteine";"Antidotes and other substances used in poisonings > Specific";"Parenteral > General injections > IV: 200 mg per  mL in 10 mL ampoule
Oral > Liquid: 10%; 20%";"Acute or subacute hepatic failure";"V03AB23";;"Removed"
"acetylsalicylic acid";"Antimigraine medicines > For treatment of acute attack";"Oral > Solid: 300 to 500 mg";"Migraine";"N02BA01";;"Added"
"acetylsalicylic acid";"Anti-platelet medicines";"Oral > Solid: 100 mg";"Acute myocardial infarction";"B01AC06";;"Added"
"acetylsalicylic acid";"Anti-platelet medicines";"Oral > Solid: 100 mg";"Cerebral ischaemic stroke";"B01AC06";;"Added"
"acetylsalicylic acid";"Medicines for juvenile joint diseases";"Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg";"Acute rheumatic fever without mention of heart involvement";"N02BA01";;"Added"
"acetylsalicylic acid";"Medicines for juvenile joint diseases";"Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg";"Mucocutaneous lymph node syndrome";"N02BA01";;"Added"
"acetylsalicylic acid";"Medicines for juvenile joint diseases";"Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg";"Juvenile idiopathic arthritis";"N02BA01";;"Added"
"acetylsalicylic acid";"Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs)";"Oral > Solid: 100 to 500 mg
Local > Rectal > Suppository: 50 to 150 mg";"Pain";"N02BA01";;"Added"
"aciclovir";"Antiherpes medicines";"Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet";"Zoster";"J05AB01";;"Added"
"aciclovir";"Antiherpes medicines";"Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet";"Varicella";"J05AB01";;"Added"
"aciclovir";"Antiherpes medicines";"Parenteral > General injections > IV: 250 mg in vial powder for injection (as sodium salt)
Oral > Liquid: 200 mg per 5 mL
Oral > Solid: 200 mg tablet";"Herpes simplex infections";"J05AB01";;"Added"
"aciclovir";"Ophthalmological preparations > Anti-infective agents";"Local > Ophthalmological > Ointment: 3% w/w";"Herpes simplex keratitis";"S01AD03";;"Added"
"aclidinium";"Antiasthmatic and medicines for chronic obstructive pulmonary disease";;"Chronic obstructive pulmonary disease";;;"Added"
"activated charcoal";"Antidotes and other substances used in poisonings > Non-specific";"Oral > Other: powder";"Unspecified injury, poisoning or certain other consequences of external causes";"A07BA01";;"Added"
"adalimumab";"Immunomodulators for non-malignant disease";"Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL";"Axial spondyloarthritis";"L04AB04";;"Added"
"adalimumab";"Immunomodulators for non-malignant disease";"Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL";"Crohn disease site";"L04AB04";;"Added"
"adalimumab";"Immunomodulators for non-malignant disease";"Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL";"Rheumatoid arthritis";"L04AB04";;"Added"
"adalimumab";"Medicines for juvenile joint diseases";"Parenteral > General injections > SC: 40 mg per 0.8 mL; 40 mg per 0.4 mL; 10 mg per 0.2 mL; 20 mg per 0.4 mL";"Juvenile idiopathic arthritis";"L04AB04";;"Added"
"afatinib";"Targeted therapies";;"Other specified malignant neoplasms of bronchus or lung";;;"Added"
"albendazole";"Intestinal anthelminthics";"Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))";"Echinococcosis";"P02CA03";;"Added"
"albendazole";"Intestinal anthelminthics";"Oral > Solid > tablet: 400 mg (chewable, scored)
Oral > Solid > tablet: 400 mg (chewable, scored))";"Ascariasis";"P02CA03";;"Added"
