"id","label_uk","label_ru","label_fr","label_en","alias_list_uk","alias_list_ru","alias_list_fr","alias_list_en","chembl_id","chebi_id","atc_code","ukwiki_sitelink","frwiki_sitelink","ruwiki_sitelink","enwiki_sitelink","tallman_name"
"Q58713","кломіпрамін","Кломипрамин","clomipramine","clomipramine","[]","['Анафранил', 'Кломинал', 'Клофранил', 'Гидифен']","['C19H23ClN2', 'Anafranil', '303-49-1', 'C22H30N4O2S2']","['ANA586', 'Anafranil®', 'G-34586', '3-(3-chloro-10,11-dihydro-5H-dibenzo[b,f]azepin-5-yl)-N,N-dimethyl-1-propanamine', '3-chloroimipramine', 'chlorimipramine', 'monochlorimipramine', 'G 34586', 'Clomipramine', 'Chlorimipramine', 'Monochlorimipramine', 'Clomipraminum', '3-(3-chloro-5H-dibenzo[b,F]azepin-5-yl)-N,N-dimethylpropan-1-amine', '3-Chloroimipramine', 'Clomipramina']","CHEMBL415","47780","N06AA04","https://uk.wikipedia.org/wiki/%D0%9A%D0%BB%D0%BE%D0%BC%D1%96%D0%BF%D1%80%D0%B0%D0%BC%D1%96%D0%BD","https://fr.wikipedia.org/wiki/Clomipramine","https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%BE%D0%BC%D0%B8%D0%BF%D1%80%D0%B0%D0%BC%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Clomipramine","clomiPRAMINE"
"Q96019930","","","rhizome de chiendent","Couch grass rhizome","[]","[]","[]","['Agropyri repentis rhizoma']","","","","","","","",""
"Q794409","","безитрамид","","bezitramide","[]","[]","[]","['R-4845', '1-[1-(3-cyano-3,3-diphenylpropyl)-4-piperidinyl]-1,3-dihydro-3-(1-oxopropyl)-2H-benzimidazol-2-one']","CHEMBL2104149","135794","N02AC05","","","https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B7%D0%B8%D1%82%D1%80%D0%B0%D0%BC%D0%B8%D0%B4","https://en.wikipedia.org/wiki/Bezitramide",""
"Q108624650","","","","","[]","[]","[]","[]","","","","","","","",""
"Q27086377","","","","milnacipran","[]","[]","[]","[]","CHEMBL259209","135005","","","","","",""
"Q43522583","","","","Kingsy Pharmaceutical","[]","[]","[]","['Kingsy Pharmaceutical']","","","","","","","",""
"Q419646","","","drospirénone","drospirenone","[]","[]","[]","['dihydrospirorenone', 'Yasmin®', 'ZK30595', 'Dehydrospirorenone', '6beta,7beta;15beta,16beta-Dimethylene-3-oxo-17alpha-pregn-4-ene-21,17-carbolactone', '1,2-Dihydrospirorenone', '6β,7β,15β,16β-dimethylene-3-oxo-17α-pregn-4-ene-21,17 carbolactone', 'Drospirenone', 'DRSP', '6beta,7Beta;15beta,16beta-dimethylene-3-oxo-17alpha-pregn-4-ene-21,17-carbolactone', 'Drospirenona', 'Drospirenonum']","CHEMBL1509","50838","G03AC10","","","","https://en.wikipedia.org/wiki/Drospirenone",""
"Q27074756","","","","azd-5363","[]","[]","[]","['AZD 5363', 'AZD-5363', 'cc-638', 'AZD5363']","CHEMBL2325741","","","","","","",""
"Q64584681","","","","estradiol cypionate/hydroxyprogesterone caproate","[]","[]","[]","[]","","","","","","","https://en.wikipedia.org/wiki/Estradiol_cypionate/hydroxyprogesterone_caproate",""
"Q483752","Валін","валин","valine","L-valine","[]","[]","['516-06-3', '640-68-6', 'L-valine', '72-18-4']","['L-Val', '(2S)-2-Amino-3-methylbutanoic acid', '(S)-Valine', 'L-alpha-Amino-beta-methylbutyric acid', 'Val', 'Valine', 'V', '2-Amino-3-methylbutyric acid', 'L-(+)-alpha-Aminoisovaleric acid']","CHEMBL43068","16414","","https://uk.wikipedia.org/wiki/%D0%92%D0%B0%D0%BB%D1%96%D0%BD","https://fr.wikipedia.org/wiki/Valine","https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%BB%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Valine",""
"Q96069897","","","fraisier (feuille de)","Fragariae folium","[]","[]","[]","['wild strawberry leaves']","","","","","","","",""
"Q407172","Хоріонічний гонадотропін","Хорионический гонадотропин","hormone gonadotrophine chorionique","chorionic gonadotropin","['Хоріальний гонадотропін']","['ХГЧ', 'Гонадотропин хорионический']","['Gonadotrophine chorionique humaine', 'Gonadotrophine chorionique', 'HCG', 'Human chorionic gonadotrophin', 'Hormone chorionique gonadotrope', 'Gonadotropine chorionique']","['Ovidrel', 'Atc Code G03 Ga Gonadotropins', 'Chorionic gonadotrophin beta subunit', 'Choriogonadotropin beta chain precursor', 'CG-beta', 'Choriogonadotropin alpha', 'hCG', 'human chorionic gonadotropin']","CHEMBL1201464","81573","G03GA08","https://uk.wikipedia.org/wiki/%D0%A5%D0%BE%D1%80%D1%96%D0%BE%D0%BD%D1%96%D1%87%D0%BD%D0%B8%D0%B9_%D0%B3%D0%BE%D0%BD%D0%B0%D0%B4%D0%BE%D1%82%D1%80%D0%BE%D0%BF%D1%96%D0%BD","https://fr.wikipedia.org/wiki/Hormone_chorionique_gonadotrope_humaine","https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D1%80%D0%B8%D0%BE%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B3%D0%BE%D0%BD%D0%B0%D0%B4%D0%BE%D1%82%D1%80%D0%BE%D0%BF%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Human_chorionic_gonadotropin",""
"Q20817018","","","acide trétradécylsulfurique","myristyl sulfate","[]","[]","[]","['STS']","CHEMBL1208306","135234","C05BB04","","","","",""
"Q421224","","Векурония","vécuronium","vecuronium","[]","['Векуроний бромид', 'Норкурон', 'Векуроний']","['C34H57N2O4+', '50700-72-6', 'Vecuronium']","['Norcuron®', 'ORG NC 45 / ORG-NC 45', 'Vecuronium']","CHEMBL1201219","9939","M03AC03","","","","",""
"Q2254797","","","nateglinide","nateglinide","[]","[]","[]","['DJN608', 'AY-4166', 'SDZ-DJN-608', 'trans-N-{[4-(1-methylethyl)cyclohexyl]carbonyl}-D-phenylalanine', 'AY4166', 'A-4166', 'AY 4166', 'A 4166', '(-)-N-(trans-4-isopropylcyclohexanecarbonyl)-D-phenylalanine']","CHEMBL783","31897","A10BX03","","","","https://en.wikipedia.org/wiki/Nateglinide",""
"Q60676224","","","","calaspargase pegol-mknl","[]","[]","[]","['calaspargase pegol', 'calaspargase', 'EZN-2285', 'Asparlas']","","","","","","","https://en.wikipedia.org/wiki/Calaspargase_pegol",""
"Q262210","Ізоконазол","","isoconazole","isoconazole","[]","[]","[]","['R-15454 [as nitrate salt]', 'Isoconazole']","CHEMBL1571863","83667","G01AF07","https://uk.wikipedia.org/wiki/%D0%86%D0%B7%D0%BE%D0%BA%D0%BE%D0%BD%D0%B0%D0%B7%D0%BE%D0%BB","https://fr.wikipedia.org/wiki/Isoconazole","","https://en.wikipedia.org/wiki/Isoconazole",""
"Q97861293","","","","pioglitazone/glimepiride","[]","[]","[]","['Duetact']","","","","","","","https://en.wikipedia.org/wiki/Pioglitazone/glimepiride",""
