"id","label_uk","label_ru","label_fr","label_en","alias_list_uk","alias_list_ru","alias_list_fr","alias_list_en","chembl_id","chebi_id","atc_code","rxnorm","ukwiki_sitelink","frwiki_sitelink","ruwiki_sitelink","enwiki_sitelink","tallman_name"
"Q190878","активоване вугілля","активированный уголь","charbon actif","activated carbon","[]","['уголь активированный', 'ультра-адсорб', 'ультраадсорб']","['E153', 'charbon activé', 'charbon végétal médicinal', 'charbon de bois activé']","['activated charcoal', 'active carbon', 'AST-120', 'activated coal']","","","","","https://uk.wikipedia.org/wiki/%D0%90%D0%BA%D1%82%D0%B8%D0%B2%D0%BE%D0%B2%D0%B0%D0%BD%D0%B5_%D0%B2%D1%83%D0%B3%D1%96%D0%BB%D0%BB%D1%8F","https://fr.wikipedia.org/wiki/Charbon_actif","https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%82%D0%B8%D0%B2%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9_%D1%83%D0%B3%D0%BE%D0%BB%D1%8C","https://en.wikipedia.org/wiki/Activated_carbon",""
"Q202476","Паратгормон","Паратиреоидный гормон","parathormone","parathyroid hormone","[]","['Паратгормон', 'Паратирин', 'ПТГ']","['Hormones parathyroïdiennes', 'PTH', 'Hormone parathyroïdienne']","['parathyroid hormone 1', 'parathormone', 'parathyrin', 'PTH', 'preproparathyroid hormone', 'prepro-PTH', 'Parathyroid hormone']","","","","","https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D1%82%D0%B3%D0%BE%D1%80%D0%BC%D0%BE%D0%BD","https://fr.wikipedia.org/wiki/Parathormone","https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B0%D1%82%D0%B8%D1%80%D0%B5%D0%BE%D0%B8%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B3%D0%BE%D1%80%D0%BC%D0%BE%D0%BD","https://en.wikipedia.org/wiki/Parathyroid_hormone",""
"Q386664","Кортикотропний рилізінг-фактор","Кортиколиберин","Corticolibérine","corticotropin releasing hormone","[]","['Кортикотропин-рилизинг-гормон', 'Кортикотропин-рилизинг-фактор']","[]","['CRH', 'CRF', 'corticotropin-releasing factor', 'Corticotropin-releasing hormone', 'corticoliberin']","","","","","https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D1%82%D0%B8%D0%BA%D0%BE%D1%82%D1%80%D0%BE%D0%BF%D0%BD%D0%B8%D0%B9_%D1%80%D0%B8%D0%BB%D1%96%D0%B7%D1%96%D0%BD%D0%B3-%D1%84%D0%B0%D0%BA%D1%82%D0%BE%D1%80","https://fr.wikipedia.org/wiki/Corticolib%C3%A9rine","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D1%82%D0%B8%D0%BA%D0%BE%D0%BB%D0%B8%D0%B1%D0%B5%D1%80%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Corticotropin-releasing_hormone",""
"Q408014","Хондроїтин","Хондроитина сульфат","sulfate de chondroïtine","chondroitin sulfate","['Хондроїтинсульфат']","['Хондролон', 'Хондроитинсульфаты', 'Хондроитин', 'Хондроитин сульфат', 'Хондроитин-сульфат', 'Хондроитинсульфат', 'Структум']","['sulfate de chondroitine', 'chondroïtine sulfate']","['Chondroitin sulfate', 'Poly-1(2/3)-N-acetyl-2-amino-2-deoxy-3-O-beta-D-glucopyranurosyl-4-(6)sulfonyl-D-galactose', 'Chondroitin 4-sulfate', ""chondroitin 4'-sulfate""]","CHEMBL2303614","18250","M01AX25","","https://uk.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BD%D0%B4%D1%80%D0%BE%D1%97%D1%82%D0%B8%D0%BD","https://fr.wikipedia.org/wiki/Sulfate_de_chondro%C3%AFtine","https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BD%D0%B4%D1%80%D0%BE%D0%B8%D1%82%D0%B8%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%84%D0%B0%D1%82%D1%8B","https://en.wikipedia.org/wiki/Chondroitin_sulfate",""
"Q416545","","Азенапин","Asénapine","asenapine","[]","[]","[]","[]","","71253","N05AH05","784649","","https://fr.wikipedia.org/wiki/As%C3%A9napine","https://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B5%D0%BD%D0%B0%D0%BF%D0%B8%D0%BD","https://en.wikipedia.org/wiki/Asenapine",""
"Q422519","мінералокортикоїди","минералокортикоид","minéralocorticoïde","mineralocorticoid","['мінералокортикоїд']","['Минералкортикоиды', 'Минералокортикостероид', 'Минералокортикостероиды', 'Минералкортикоид', 'минералокортикоиды']","['Mineralocorticoide']","[]","","25354","H02AA","","https://uk.wikipedia.org/wiki/%D0%9C%D1%96%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D0%BE%D0%BA%D0%BE%D1%80%D1%82%D0%B8%D0%BA%D0%BE%D1%97%D0%B4%D0%B8","https://fr.wikipedia.org/wiki/Min%C3%A9ralocortico%C3%AFde","https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D0%BE%D0%BA%D0%BE%D1%80%D1%82%D0%B8%D0%BA%D0%BE%D0%B8%D0%B4%D1%8B","https://en.wikipedia.org/wiki/Mineralocorticoid",""
"Q574831","","","anti-anémique","anti-anemic","[]","[]","['antianémiant', 'antianémique']","['antianemic']","","","B03","","","https://fr.wikipedia.org/wiki/Antian%C3%A9miant","","",""
"Q584065","","","sérum anti-lymphocytaire","anti-thymocyte globulin","[]","[]","[]","[]","CHEMBL1201596","","","","","https://fr.wikipedia.org/wiki/S%C3%A9rum_anti-lymphocytaire","","https://en.wikipedia.org/wiki/Anti-thymocyte_globulin",""
"Q636678","","","tetrapharmacum","tetrapharmacum","[]","[]","[]","[]","","","","","","https://fr.wikipedia.org/wiki/Tetrapharmacum","","https://en.wikipedia.org/wiki/Tetrapharmacum",""
"Q857162","","","huile de cajeput","cajeput oil","[]","[]","[]","[]","","","","","","https://fr.wikipedia.org/wiki/Huile_de_cajeput","","https://en.wikipedia.org/wiki/Cajeput_oil",""
"Q926024","Лінімент бальзамічний (за Вишневським)","Мазь Вишневского","","Vishnevsky liniment","['Мазь Вишневського']","['Линимент бальзамический']","[]","['balsamic liniment']","","","","","https://uk.wikipedia.org/wiki/%D0%9B%D1%96%D0%BD%D1%96%D0%BC%D0%B5%D0%BD%D1%82_%D0%B1%D0%B0%D0%BB%D1%8C%D0%B7%D0%B0%D0%BC%D1%96%D1%87%D0%BD%D0%B8%D0%B9_(%D0%B7%D0%B0_%D0%92%D0%B8%D1%88%D0%BD%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%BC)","","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B7%D1%8C_%D0%92%D0%B8%D1%88%D0%BD%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE","https://en.wikipedia.org/wiki/Vishnevsky_liniment",""
"Q935761","аддералл","аддералл","Adderall","Adderall","[]","[]","[]","['amphetamine mixed salts', 'amphetamine and dextroamphetamine mixed salts', 'amphetamine salt combo', 'amphetamine salts', 'Adderall XR', 'Attent']","","","","84815","https://uk.wikipedia.org/wiki/%D0%90%D0%B4%D0%B4%D0%B5%D1%80%D0%B0%D0%BB%D0%BB","https://fr.wikipedia.org/wiki/Adderall","https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B4%D0%B5%D1%80%D0%B0%D0%BB%D0%BB","https://en.wikipedia.org/wiki/Adderall",""
